"BA","DM","DO","DS","NA","OL","OT","PB","PE","PF","PH","PI","PL","PM","PP","RF","RM","RO","SF","SH","SO","total","newmoonnumber"
0,6,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,402
0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,403
0,7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,404
0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,10,405
0,10,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,17,406
0,13,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,20,407
0,8,0,0,0,0,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,22,409
0,8,1,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,35,411
0,9,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,16,413
0,13,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17,415
0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,416
0,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,417
0,13,2,0,0,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,26,418
0,11,0,0,0,0,1,0,0,1,0,0,0,0,23,0,0,0,0,0,0,36,419
0,4,0,0,0,0,0,1,0,0,0,0,0,0,17,0,0,0,0,0,0,22,421
0,9,1,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,39,422
0,8,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,44,423
0,8,0,0,0,0,1,0,0,0,0,0,0,0,39,0,0,0,0,0,0,48,424
0,6,0,0,0,0,2,0,0,1,0,0,0,0,40,0,0,0,0,0,0,49,425
0,19,0,0,0,4,0,0,6,1,0,0,0,0,2,0,1,0,0,0,0,33,428
0,15,0,0,0,4,0,0,0,3,0,0,0,0,9,0,1,0,0,0,0,32,429
0,15,0,0,0,2,0,0,2,4,0,0,0,0,17,0,0,0,0,0,0,40,430
0,16,0,0,0,1,0,0,2,1,0,0,0,0,27,0,0,0,0,0,0,47,431
0,25,0,0,0,0,1,0,2,1,0,0,0,0,48,0,0,0,0,0,0,77,433
0,27,0,0,0,0,1,0,0,0,0,0,0,0,65,0,0,0,0,0,0,93,434
0,24,0,0,0,0,2,1,0,2,0,0,0,0,51,0,0,0,0,0,0,80,435
0,20,0,0,0,1,1,1,0,0,0,0,0,0,33,0,0,0,0,0,0,56,436
0,24,0,0,0,3,4,0,1,0,0,0,0,0,27,0,0,0,0,0,0,59,437
0,22,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,30,438
0,26,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,28,439
0,19,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,440
0,20,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,22,441
0,20,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,26,442
2,25,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,44,443
0,22,0,0,0,2,2,0,0,0,0,0,0,0,29,0,0,0,0,0,0,55,444
0,19,0,0,0,0,0,0,0,1,0,0,0,0,33,0,0,0,0,0,0,53,446
0,19,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,49,448
0,16,0,0,0,1,0,1,0,0,0,0,0,0,15,0,0,0,0,0,0,33,450
0,21,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,25,452
0,35,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,40,453
0,28,2,0,0,0,1,1,3,0,0,0,0,0,7,0,0,0,1,0,0,43,454
1,29,1,0,0,2,0,1,0,0,0,0,0,0,17,0,2,0,0,0,0,53,455
0,27,3,0,0,1,2,0,1,0,0,0,0,0,24,0,0,0,0,0,0,58,456
0,25,1,0,0,1,0,0,1,0,0,0,0,0,39,0,0,0,0,0,0,67,457
0,23,1,0,0,1,1,0,0,0,0,0,0,0,58,0,0,0,0,0,0,84,458
0,21,1,0,0,0,2,0,0,0,0,0,0,0,24,0,0,0,0,0,0,48,459
1,20,1,0,0,1,2,0,0,0,0,0,0,0,44,0,0,0,0,0,0,69,460
1,19,0,0,0,0,2,1,0,0,0,0,0,0,27,0,0,0,0,0,0,50,461
0,17,1,0,0,0,5,0,0,0,0,0,0,0,16,0,0,0,0,0,0,39,462
1,14,1,0,0,4,3,0,2,0,0,0,0,0,5,0,1,0,0,0,0,31,463
1,22,3,0,0,4,4,0,0,0,0,0,0,0,4,0,2,1,1,0,0,42,465
1,25,5,0,0,4,1,0,4,1,0,0,0,0,9,0,3,2,4,0,0,59,466
6,18,4,0,0,2,1,0,1,0,0,0,0,0,17,0,9,2,3,0,0,63,467
7,16,7,0,0,2,2,0,3,0,0,0,0,0,31,0,8,0,2,2,0,80,468
3,21,7,0,0,4,1,0,1,0,0,0,0,0,24,0,6,0,1,1,0,69,469
8,14,7,0,0,2,2,0,3,1,0,0,0,0,36,0,0,0,3,0,0,76,470
3,14,6,0,0,1,1,0,1,0,0,0,0,1,60,0,3,0,2,0,0,92,471
4,16,8,0,0,2,0,0,0,0,0,0,0,0,47,0,0,0,1,0,0,78,472
2,17,4,0,0,3,3,0,0,0,0,0,0,0,29,0,0,0,0,0,0,58,473
3,21,6,0,0,3,6,0,2,0,0,0,0,0,15,0,1,0,1,0,0,58,474
2,22,10,0,0,3,7,0,1,0,0,0,0,0,3,0,2,0,1,0,0,51,475
0,23,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,37,478
1,17,11,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,36,479
0,25,8,1,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,50,481
0,17,10,1,0,0,0,0,1,0,0,0,0,0,8,0,0,0,1,0,0,38,482
0,17,7,1,0,1,0,0,0,0,0,0,0,0,17,0,0,0,1,0,0,44,483
0,13,6,1,0,1,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,40,484
