"cast_id","cast_group","cast_date","start_moon","end_moon","lead_time","model","data_set","portalcasting_version","QAQC","notes"
229,11,"2020-01-02",217,526,12,"jags_RW","all","0.15.1",TRUE,NA
230,11,"2020-01-02",217,526,12,"jags_RW","controls","0.15.1",TRUE,NA
231,11,"2020-01-02",217,526,12,"jags_RW","exclosures","0.15.1",TRUE,NA
232,11,"2020-01-02",217,526,12,"NaiveArima","all","0.15.1",TRUE,NA
233,11,"2020-01-02",217,526,12,"NaiveArima","controls","0.15.1",TRUE,NA
234,11,"2020-01-02",217,526,12,"NaiveArima","exclosures","0.15.1",TRUE,NA
235,11,"2020-01-02",217,526,12,"nbGARCH","all_interp","0.15.1",TRUE,NA
236,11,"2020-01-02",217,526,12,"nbGARCH","controls_interp","0.15.1",TRUE,NA
237,11,"2020-01-02",217,526,12,"nbGARCH","exclosures_interp","0.15.1",TRUE,NA
238,11,"2020-01-02",217,526,12,"nbsGARCH","all_interp","0.15.1",TRUE,NA
239,11,"2020-01-02",217,526,12,"nbsGARCH","controls_interp","0.15.1",TRUE,NA
240,11,"2020-01-02",217,526,12,"nbsGARCH","exclosures_interp","0.15.1",TRUE,NA
241,11,"2020-01-02",217,526,12,"pevGARCH","all_interp","0.15.1",TRUE,NA
242,11,"2020-01-02",217,526,12,"pevGARCH","controls_interp","0.15.1",TRUE,NA
243,11,"2020-01-02",217,526,12,"pevGARCH","exclosures_interp","0.15.1",TRUE,NA
244,11,"2020-01-02",217,526,12,"simplexEDM","all_interp","0.15.1",TRUE,NA
245,11,"2020-01-02",217,526,12,"simplexEDM","controls_interp","0.15.1",TRUE,NA
246,11,"2020-01-02",217,526,12,"simplexEDM","exclosures_interp","0.15.1",TRUE,NA
247,12,"2020-01-03",217,526,12,"AutoArima","all","0.15.1",TRUE,NA
248,12,"2020-01-03",217,526,12,"AutoArima","controls","0.15.1",TRUE,NA
249,12,"2020-01-03",217,526,12,"AutoArima","exclosures","0.15.1",TRUE,NA
250,12,"2020-01-03",217,526,12,"ESSS","all_interp","0.15.1",TRUE,NA
251,12,"2020-01-03",217,526,12,"ESSS","controls_interp","0.15.1",TRUE,NA
252,12,"2020-01-03",217,526,12,"ESSS","exclosures_interp","0.15.1",TRUE,NA
253,12,"2020-01-03",217,526,12,"NaiveArima","all","0.15.1",TRUE,NA
254,12,"2020-01-03",217,526,12,"NaiveArima","controls","0.15.1",TRUE,NA
255,12,"2020-01-03",217,526,12,"NaiveArima","exclosures","0.15.1",TRUE,NA
256,12,"2020-01-03",217,526,12,"nbGARCH","all_interp","0.15.1",TRUE,NA
257,12,"2020-01-03",217,526,12,"nbGARCH","controls_interp","0.15.1",TRUE,NA
258,12,"2020-01-03",217,526,12,"nbGARCH","exclosures_interp","0.15.1",TRUE,NA
259,12,"2020-01-03",217,526,12,"nbsGARCH","all_interp","0.15.1",TRUE,NA
260,12,"2020-01-03",217,526,12,"nbsGARCH","controls_interp","0.15.1",TRUE,NA
261,12,"2020-01-03",217,526,12,"nbsGARCH","exclosures_interp","0.15.1",TRUE,NA
262,12,"2020-01-03",217,526,12,"pevGARCH","all_interp","0.15.1",TRUE,NA
263,12,"2020-01-03",217,526,12,"pevGARCH","controls_interp","0.15.1",TRUE,NA
264,12,"2020-01-03",217,526,12,"pevGARCH","exclosures_interp","0.15.1",TRUE,NA
265,12,"2020-01-03",217,526,12,"simplexEDM","all_interp","0.15.1",TRUE,NA
266,12,"2020-01-03",217,526,12,"simplexEDM","controls_interp","0.15.1",TRUE,NA
267,12,"2020-01-03",217,526,12,"simplexEDM","exclosures_interp","0.15.1",TRUE,NA
268,13,"2020-01-09",217,526,12,"AutoArima","all","0.15.1",TRUE,NA
269,13,"2020-01-09",217,526,12,"AutoArima","controls","0.15.1",TRUE,NA
270,13,"2020-01-09",217,526,12,"AutoArima","exclosures","0.15.1",TRUE,NA
271,13,"2020-01-09",217,526,12,"ESSS","all_interp","0.15.1",TRUE,NA
272,13,"2020-01-09",217,526,12,"ESSS","controls_interp","0.15.1",TRUE,NA
273,13,"2020-01-09",217,526,12,"ESSS","exclosures_interp","0.15.1",TRUE,NA
274,13,"2020-01-09",217,526,12,"jags_RW","all","0.15.1",TRUE,NA
275,13,"2020-01-09",217,526,12,"jags_RW","controls","0.15.1",TRUE,NA
276,13,"2020-01-09",217,526,12,"jags_RW","exclosures","0.15.1",TRUE,NA
277,13,"2020-01-09",217,526,12,"NaiveArima","all","0.15.1",TRUE,NA
278,13,"2020-01-09",217,526,12,"NaiveArima","controls","0.15.1",TRUE,NA
279,13,"2020-01-09",217,526,12,"NaiveArima","exclosures","0.15.1",TRUE,NA
280,13,"2020-01-09",217,526,12,"nbGARCH","all_interp","0.15.1",TRUE,NA
281,13,"2020-01-09",217,526,12,"nbGARCH","controls_interp","0.15.1",TRUE,NA
282,13,"2020-01-09",217,526,12,"nbGARCH","exclosures_interp","0.15.1",TRUE,NA
283,13,"2020-01-09",217,526,12,"nbsGARCH","all_interp","0.15.1",TRUE,NA
284,13,"2020-01-09",217,526,12,"nbsGARCH","controls_interp","0.15.1",TRUE,NA
285,13,"2020-01-09",217,526,12,"nbsGARCH","exclosures_interp","0.15.1",TRUE,NA
286,13,"2020-01-09",217,526,12,"pevGARCH","all_interp","0.15.1",TRUE,NA
287,13,"2020-01-09",217,526,12,"pevGARCH","controls_interp","0.15.1",TRUE,NA
288,13,"2020-01-09",217,526,12,"pevGARCH","exclosures_interp","0.15.1",TRUE,NA
289,13,"2020-01-09",217,526,12,"simplexEDM","all_interp","0.15.1",TRUE,NA
290,13,"2020-01-09",217,526,12,"simplexEDM","controls_interp","0.15.1",TRUE,NA
291,13,"2020-01-09",217,526,12,"simplexEDM","exclosures_interp","0.15.1",TRUE,NA
292,14,"2020-01-10",217,526,12,"AutoArima","all","0.15.1",TRUE,NA
293,14,"2020-01-10",217,526,12,"AutoArima","controls","0.15.1",TRUE,NA
294,14,"2020-01-10",217,526,12,"AutoArima","exclosures","0.15.1",TRUE,NA
295,14,"2020-01-10",217,526,12,"ESSS","all_interp","0.15.1",TRUE,NA
296,14,"2020-01-10",217,526,12,"ESSS","controls_interp","0.15.1",TRUE,NA
297,14,"2020-01-10",217,526,12,"ESSS","exclosures_interp","0.15.1",TRUE,NA
298,14,"2020-01-10",217,526,12,"NaiveArima","all","0.15.1",TRUE,NA
299,14,"2020-01-10",217,526,12,"NaiveArima","controls","0.15.1",TRUE,NA
300,14,"2020-01-10",217,526,12,"NaiveArima","exclosures","0.15.1",TRUE,NA
301,14,"2020-01-10",217,526,12,"nbGARCH","all_interp","0.15.1",TRUE,NA
302,14,"2020-01-10",217,526,12,"nbGARCH","controls_interp","0.15.1",TRUE,NA
303,14,"2020-01-10",217,526,12,"nbGARCH","exclosures_interp","0.15.1",TRUE,NA
304,14,"2020-01-10",217,526,12,"nbsGARCH","all_interp","0.15.1",TRUE,NA
