"cast_date","cast_month","cast_year","moon","currency","model","cast_group","confidence_level","dataset","species","estimate","lower_pi","upper_pi","start_moon","end_moon","cast_id"
"2023-04-13",4,2023,567,"abundance","nbsGARCH",125,0.95,"controls","RO",0.00362404189925104,0,0,217,566,3179
"2023-04-13",5,2023,568,"abundance","nbsGARCH",125,0.95,"controls","RO",0.00278652225181333,0,0,217,566,3179
"2023-04-13",6,2023,569,"abundance","nbsGARCH",125,0.95,"controls","RO",0.00302984701641992,0,0,217,566,3179
"2023-04-13",7,2023,570,"abundance","nbsGARCH",125,0.95,"controls","RO",0.00344478169550641,0,0,217,566,3179
"2023-04-13",8,2023,571,"abundance","nbsGARCH",125,0.95,"controls","RO",0.00409511652031079,0,0,217,566,3179
"2023-04-13",9,2023,572,"abundance","nbsGARCH",125,0.95,"controls","RO",0.00454582247702375,0,0,217,566,3179
"2023-04-13",10,2023,573,"abundance","nbsGARCH",125,0.95,"controls","RO",0.0053198363073702,0,0,217,566,3179
"2023-04-13",11,2023,574,"abundance","nbsGARCH",125,0.95,"controls","RO",0.00361973033481128,0,0,217,566,3179
"2023-04-13",12,2023,575,"abundance","nbsGARCH",125,0.95,"controls","RO",0.00301864169068291,0,0,217,566,3179
"2023-04-13",1,2024,576,"abundance","nbsGARCH",125,0.95,"controls","RO",0.00183798978042129,0,0,217,566,3179
"2023-04-13",2,2024,577,"abundance","nbsGARCH",125,0.95,"controls","RO",0.00719780101960138,0,0,217,566,3179
"2023-04-13",3,2024,578,"abundance","nbsGARCH",125,0.95,"controls","RO",0.0625513352839958,0,0,217,566,3179
"2023-04-13",3,2023,566,"abundance","nbsGARCH",125,0.95,"controls","SF",0.133352069184661,0,2,217,566,3179
"2023-04-13",4,2023,567,"abundance","nbsGARCH",125,0.95,"controls","SF",0.184360226167332,0,2,217,566,3179
"2023-04-13",5,2023,568,"abundance","nbsGARCH",125,0.95,"controls","SF",0.197975608315123,0,3,217,566,3179
"2023-04-13",6,2023,569,"abundance","nbsGARCH",125,0.95,"controls","SF",0.171799768383851,0,2,217,566,3179
"2023-04-13",7,2023,570,"abundance","nbsGARCH",125,0.95,"controls","SF",0.126334422150657,0,1,217,566,3179
"2023-04-13",8,2023,571,"abundance","nbsGARCH",125,0.95,"controls","SF",0.0841137097380665,0,1,217,566,3179
"2023-04-13",9,2023,572,"abundance","nbsGARCH",125,0.95,"controls","SF",0.0582768967225449,0,1,217,566,3179
"2023-04-13",10,2023,573,"abundance","nbsGARCH",125,0.95,"controls","SF",0.0451191647826147,0,1,217,566,3179
"2023-04-13",11,2023,574,"abundance","nbsGARCH",125,0.95,"controls","SF",0.041867272360868,0,1,217,566,3179
"2023-04-13",12,2023,575,"abundance","nbsGARCH",125,0.95,"controls","SF",0.0470772587695952,0,1,217,566,3179
"2023-04-13",1,2024,576,"abundance","nbsGARCH",125,0.95,"controls","SF",0.0616652081926877,0,1,217,566,3179
"2023-04-13",2,2024,577,"abundance","nbsGARCH",125,0.95,"controls","SF",0.0894987093308666,0,1,217,566,3179
"2023-04-13",3,2024,578,"abundance","nbsGARCH",125,0.95,"controls","SF",0.129564337351116,0,1,217,566,3179
"2023-04-13",3,2023,566,"abundance","nbsGARCH",125,0.95,"controls","SH",0.106955957972003,0,1,217,566,3179
"2023-04-13",4,2023,567,"abundance","nbsGARCH",125,0.95,"controls","SH",0.112300794201002,0,1,217,566,3179
"2023-04-13",5,2023,568,"abundance","nbsGARCH",125,0.95,"controls","SH",0.0979540525347785,0,1,217,566,3179
"2023-04-13",6,2023,569,"abundance","nbsGARCH",125,0.95,"controls","SH",0.078990502678935,0,1,217,566,3179
"2023-04-13",7,2023,570,"abundance","nbsGARCH",125,0.95,"controls","SH",0.0634800773218683,0,1,217,566,3179
"2023-04-13",8,2023,571,"abundance","nbsGARCH",125,0.95,"controls","SH",0.0531033045001637,0,1,217,566,3179
"2023-04-13",9,2023,572,"abundance","nbsGARCH",125,0.95,"controls","SH",0.0489270840725646,0,1,217,566,3179
"2023-04-13",10,2023,573,"abundance","nbsGARCH",125,0.95,"controls","SH",0.0502664252055768,0,1,217,566,3179
"2023-04-13",11,2023,574,"abundance","nbsGARCH",125,0.95,"controls","SH",0.0571204486497486,0,1,217,566,3179
"2023-04-13",12,2023,575,"abundance","nbsGARCH",125,0.95,"controls","SH",0.069881650390943,0,1,217,566,3179
"2023-04-13",1,2024,576,"abundance","nbsGARCH",125,0.95,"controls","SH",0.086740100933297,0,1,217,566,3179
"2023-04-13",2,2024,577,"abundance","nbsGARCH",125,0.95,"controls","SH",0.104927789379753,0,1,217,566,3179
"2023-04-13",3,2024,578,"abundance","nbsGARCH",125,0.95,"controls","SH",0.116884538087369,0,1,217,566,3179
"2023-04-13",3,2023,566,"abundance","nbsGARCH",125,0.95,"controls","total",54.8763384162847,33,82,217,566,3179
"2023-04-13",4,2023,567,"abundance","nbsGARCH",125,0.95,"controls","total",59.4199655527845,31,101,217,566,3179
"2023-04-13",5,2023,568,"abundance","nbsGARCH",125,0.95,"controls","total",63.6881783116383,29,120,217,566,3179
"2023-04-13",6,2023,569,"abundance","nbsGARCH",125,0.95,"controls","total",65.8861914014936,26,128,217,566,3179
"2023-04-13",7,2023,570,"abundance","nbsGARCH",125,0.95,"controls","total",64.9458643539154,23,129,217,566,3179
"2023-04-13",8,2023,571,"abundance","nbsGARCH",125,0.95,"controls","total",60.5195242094121,21,120,217,566,3179
"2023-04-13",9,2023,572,"abundance","nbsGARCH",125,0.95,"controls","total",54.1515132125955,17,112,217,566,3179
"2023-04-13",10,2023,573,"abundance","nbsGARCH",125,0.95,"controls","total",47.6402234443178,13,99,217,566,3179
"2023-04-13",11,2023,574,"abundance","nbsGARCH",125,0.95,"controls","total",42.3839229987468,11,86,217,566,3179
"2023-04-13",12,2023,575,"abundance","nbsGARCH",125,0.95,"controls","total",39.1002974291014,9,80,217,566,3179
"2023-04-13",1,2024,576,"abundance","nbsGARCH",125,0.95,"controls","total",37.9349698934524,10,80,217,566,3179
"2023-04-13",2,2024,577,"abundance","nbsGARCH",125,0.95,"controls","total",38.860245037464,10,83,217,566,3179
"2023-04-13",3,2024,578,"abundance","nbsGARCH",125,0.95,"controls","total",42.0606530255057,11,93,217,566,3179
